,Country Name,City Name,Latitude,Longitude,Temperature(F),Humidity(%),Wind Speed,Cloudiness,Date
321,US,mayo,38.89,-76.51,57.99,93,3.36,90,1581445250
322,NZ,ahipara,-35.17,173.17,55.99,100,5.57,1,1581445218
323,BB,bathsheba,13.22,-59.52,86.0,62,21.92,40,1581445630
324,NZ,okato,-39.2,173.88,57.0,88,8.01,48,1581445252
325,GE,akhmeta,42.03,45.21,24.8,41,5.82,0,1581445630
326,RU,belaya gora,68.53,146.42,-29.52,70,1.66,30,1581445268
327,IN,yarada,17.65,83.27,75.2,83,4.7,40,1581445504
328,RU,megion,61.03,76.11,12.2,78,13.42,90,1581445630
329,NZ,muriwai beach,-36.82,174.45,60.01,87,2.24,3,1581445630
330,AR,mercedes,-34.65,-59.43,84.0,52,4.0,0,1581445352
331,RU,petropavlovsk-kamchatskiy,53.05,158.65,17.6,61,4.47,51,1581445259
332,NO,glomfjord,66.82,13.97,37.4,91,3.36,75,1581445631
333,SD,kutum,14.2,24.67,54.37,18,10.13,14,1581445631
334,IN,tura,25.52,90.22,57.56,46,1.5,0,1581445518
335,BR,nioaque,-21.14,-55.83,87.64,74,1.32,100,1581445631
336,RU,pangody,65.85,74.49,7.92,95,14.7,100,1581445515
337,KZ,fort-shevchenko,44.51,50.26,24.89,59,10.56,0,1581445631
338,PT,machico,32.7,-16.77,64.4,72,6.93,75,1581445632
339,RU,tommot,58.96,126.29,1.67,96,6.58,100,1581445632
340,RU,kodinsk,58.69,99.18,-0.02,97,4.45,85,1581445632
341,IN,pandaria,22.23,81.42,62.37,39,3.47,0,1581445632
342,SO,hobyo,5.35,48.53,76.8,72,13.06,1,1581445511
343,CN,tongliao,43.61,122.27,35.94,79,17.49,29,1581445632
344,NO,havoysund,71.0,24.66,37.4,79,20.8,75,1581445461
345,IN,dalhousie,32.53,75.98,47.82,41,6.82,33,1581445633
346,UY,rocha,-34.48,-54.33,74.28,45,10.92,78,1581445489
347,BO,uyuni,-20.46,-66.83,66.13,29,3.11,29,1581445633
348,RU,maykor,59.01,55.88,18.09,93,8.59,92,1581445633
349,ES,aguimes,27.91,-15.45,75.99,43,11.41,0,1581445633
350,TD,am timan,11.03,20.28,75.33,15,4.92,0,1581445633
351,PG,lorengau,-2.02,147.27,82.98,79,14.36,99,1581445219
352,MZ,quelimane,-17.88,36.89,84.2,83,6.93,75,1581445634
353,ML,gao,16.64,1.64,82.99,9,10.92,100,1581445634
354,RU,leningradskiy,69.38,178.42,-22.02,90,11.05,0,1581445218
355,IS,grindavik,63.84,-22.43,28.4,68,12.75,40,1581445214
356,MX,progreso,21.28,-89.67,93.0,41,23.04,5,1581445634
357,GL,qaqortoq,60.72,-46.03,8.6,42,4.7,40,1581445236
358,ES,bereda,43.27,-7.54,53.01,100,4.7,90,1581445224
359,RU,zelenoborskiy,66.84,32.36,33.26,97,15.5,100,1581445508
360,ID,simpang,-1.27,104.08,74.8,96,2.77,96,1581445635
361,MV,kulhudhuffushi,6.62,73.07,82.22,77,15.82,83,1581445635
362,SA,mecca,21.43,39.83,65.19,36,9.89,0,1581445282
363,MN,baruun-urt,46.68,113.28,18.9,70,5.97,0,1581445635
364,KE,mandera,3.94,41.87,88.21,31,0.92,0,1581445635
365,US,laguna,38.42,-121.42,68.0,49,11.41,1,1581445150
366,MG,tsiroanomandidy,-18.77,46.03,72.3,80,3.42,35,1581445271
367,BR,castro,-24.79,-50.01,69.84,77,4.29,100,1581445284
368,ID,soe,-9.86,124.28,74.73,85,3.76,97,1581445636
369,MU,quatre cocos,-20.21,57.76,80.01,84,10.0,54,1581445636
370,BR,parati,-23.22,-44.71,73.4,78,2.24,90,1581445636
371,ID,meulaboh,4.14,96.13,83.26,73,1.99,100,1581445214
372,CA,gimli,50.63,-96.99,25.0,77,8.01,100,1581445362
373,PE,chilca,-12.52,-76.74,80.6,65,9.17,20,1581445637
374,NA,karasburg,-28.02,18.75,92.86,15,9.15,86,1581445462
375,PE,santiago de cao,-7.96,-79.24,73.4,83,11.41,20,1581445637
376,JP,nago,26.59,127.98,68.0,68,9.17,75,1581445219
377,CA,sioux lookout,50.1,-91.92,19.4,73,13.87,75,1581445463
378,RU,yashkul,46.17,45.34,29.52,67,15.03,74,1581445637
379,BR,barreiras,-12.15,-44.99,85.93,59,2.66,37,1581445638
380,GR,malia,35.28,25.47,61.0,87,5.82,20,1581445638
381,GF,sinnamary,5.38,-52.95,79.79,79,19.17,73,1581445514
382,PL,libiaz,50.1,19.32,39.0,69,13.87,20,1581445638
